date,timestamp,ticker,price,gamma_oi,gamma_vol,gamma_dir,charm_oi,charm_vol,charm_dir,vanna_oi,vanna_vol,vanna_dir
2026-04-13T05:00:00.000Z,2026-04-13T19:10:00.000Z,SPX,6855.00,57639737293.6200,679354618146.3800,135955606401.6300,-50730334032146.9000,-241872534242503.4000,12976551658729.2200,809699050.6821,856773367.8855,27860973.0879
2026-04-13T05:00:00.000Z,2026-04-13T19:15:00.000Z,SPX,6855.00,52009470949.2900,714494006428.7100,141835257171.9600,-51908394101198.3000,-264240136319589.3000,13494715091548.4400,652727521.1079,877933371.3990,45283293.7643
2026-04-13T05:00:00.000Z,2026-04-13T19:20:00.000Z,SPX,6860.00,38772922352.0000,737955733160.0400,146890274822.2800,-50872953020644.4000,-284692592007934.0000,22663056113921.9800,1077036977.1962,815544992.1630,34508044.2363
2026-04-13T05:00:00.000Z,2026-04-13T19:25:00.000Z,SPX,6860.00,36096871320.0500,740498754609.8200,154116975464.1000,-53092577623177.3000,-301877294638097.4000,31173699573512.3400,1059744399.7032,710658572.4330,10833631.5980
2026-04-13T05:00:00.000Z,2026-04-13T19:35:00.000Z,SPX,6865.00,60106640483.4500,788147855533.0000,167405583751.5500,-51568633829254.6000,-331425481452372.3000,50724715544329.0000,339758118.8204,537051982.5779,-31041996.9585
2026-04-13T05:00:00.000Z,2026-04-13T19:40:00.000Z,SPX,6860.00,66362213490.3000,785989733307.1400,170968955796.8700,-48871896764891.7000,-357442871594497.2000,47703425450377.0000,434014869.5744,549586099.7090,-26446380.9941
2026-04-13T05:00:00.000Z,2026-04-13T19:45:00.000Z,SPX,6860.00,54241486107.0500,810567706687.6400,174247711823.6000,-22471814522405.1800,-169911764865858.9000,29041865162703.4700,823979301.4680,533482773.5716,9164958.6924
2026-04-13T05:00:00.000Z,2026-04-13T19:50:00.000Z,SPX,6875.00,74597823038.8800,685514407044.5600,164392929299.1000,-30348578332797.7300,384282060919113.3000,104281198139708.8000,327213357.0586,-27207105.8741,-63656171.1846
2026-04-13T05:00:00.000Z,2026-04-13T19:55:00.000Z,SPX,6885.00,55585468654.3400,513784091260.3900,141784654920.5400,-29103434503703.7200,1250613351849420.0000,336520061063194.8000,468879713.1734,-39688536.4205,-75948531.8239
2026-04-13T05:00:00.000Z,2026-04-13T20:00:00.000Z,SPX,6880.00,61498952377.5300,476416007428.5800,155902902042.8700,50759193407357.7000,931926060723273.0000,263892493729954.9000,645992365.0558,289658676.1082,-26160880.5169
2026-04-14T05:00:00.000Z,2026-04-14T13:30:00.000Z,SPX,6905.00,67031167538.6700,689112067.1900,653130358.5800,-9942198163745.2300,-463544871774.0300,85370285523.3700,604916326.0163,30002396.8228,-8907041.1902
2026-04-14T05:00:00.000Z,2026-04-14T13:35:00.000Z,SPX,6910.00,84038245164.5400,7065629075.8800,3380940729.5100,-9408222214396.6700,-1511525670755.8000,11597264642.0800,342588413.6406,85132386.1231,426951.0412
2026-04-14T05:00:00.000Z,2026-04-14T13:40:00.000Z,SPX,6920.00,69517676793.9500,20915625801.8900,4132740380.7000,-9627557937953.3400,-2720498941717.6200,87357655090.4300,659285616.7882,142005471.0157,-1204974.3977
2026-04-14T05:00:00.000Z,2026-04-14T13:50:00.000Z,SPX,6920.00,111376184046.3900,36284037401.7800,8558274980.7000,-9911902556427.1000,-4429830510996.6100,50929475349.2600,669934558.3280,229841912.6580,9293323.9417
2026-04-14T05:00:00.000Z,2026-04-14T13:55:00.000Z,SPX,6920.00,96990930983.1800,41272364371.7200,8658632919.8900,-9939703133770.7300,-5326365542938.8200,58379429763.8600,706139759.7622,221976269.5119,-24128680.9780
2026-04-14T05:00:00.000Z,2026-04-14T14:00:00.000Z,SPX,6920.00,97013666409.8200,49065278635.4900,11154592082.2700,-9841982557719.8100,-6228394475235.2000,-89794023691.5700,478320902.6019,266261398.2584,-14502803.1705
2026-04-14T05:00:00.000Z,2026-04-14T14:05:00.000Z,SPX,6925.00,79711409038.1500,54121068544.6200,12783532912.3700,-9744369653189.2800,-6738675596547.0000,-745593960.5100,515862089.6931,279434345.9696,-19489606.6928
2026-04-14T05:00:00.000Z,2026-04-14T14:10:00.000Z,SPX,6930.00,82956428587.3400,81659298995.9700,16558397933.5900,-9507844220571.0700,-7520201315176.6500,140192721013.3000,870564047.8421,299840916.5813,-24873793.8754
2026-04-14T05:00:00.000Z,2026-04-14T14:15:00.000Z,SPX,6935.00,91074944326.9200,101586883108.6900,19970403174.5900,-9531430969844.1900,-8294619224079.1400,192867837757.2200,345411338.8219,315350248.7794,-29089745.2915
2026-04-14T05:00:00.000Z,2026-04-14T14:20:00.000Z,SPX,6935.00,102052162848.8800,109342430330.6700,21076352694.9900,-9901420638969.8800,-9578819454834.1500,5806808009.1000,656420540.8212,355366128.9340,-49149661.8874
