bucket_min,symbol,option_type,aggression_regime,distance_bucket,premium_bucket,n,touch_pct,median_minutes_to_touch,median_mfe_bps,median_mae_bps,median_end_ret_bps
5,SPXW,call,sell_dom,0.3-0.5%,$1-5k,76,6.578947368421052,51.0,10.628958702087402,4.65761137008667,8.041469097137451
5,SPXW,call,sell_dom,0.3-0.5%,$100-500k,448,17.1875,81.0,16.0053448677063,14.38088083267212,4.542699813842773
5,SPXW,call,sell_dom,0.3-0.5%,$25-100k,306,8.49673202614379,78.0,13.937089920043945,11.389457702636719,6.4664788246154785
5,SPXW,call,sell_dom,0.3-0.5%,$5-25k,219,10.50228310502283,83.0,13.980480194091797,5.785625457763672,10.42347240447998
5,SPXW,call,sell_dom,0.3-0.5%,$500k-2.5M,142,28.87323943661972,65.0,28.850932121276855,11.435229778289795,15.931504726409912
5,SPXW,call,sell_dom,0.5-1%,$1-5k,734,0.9536784741144414,96.0,14.932376861572266,9.99052619934082,6.765416622161865
5,SPXW,call,sell_dom,0.5-1%,$100-500k,285,2.456140350877193,73.0,23.889934539794922,15.08403205871582,11.413667678833008
5,SPXW,call,sell_dom,0.5-1%,$25-100k,556,0.7194244604316548,102.5,21.001134872436523,10.767796039581299,10.704328536987305
5,SPXW,call,sell_dom,0.5-1%,$5-25k,845,0.35502958579881655,113.0,15.76337718963623,12.883012771606445,6.632477760314941
5,SPXW,call,sell_dom,0.5-1%,$500k-2.5M,31,9.67741935483871,65.0,33.190731048583984,13.024901390075684,23.25495719909668
5,SPXW,call,sell_dom,1-1.5%,$1-5k,763,0.0,,18.14396095275879,13.024901390075684,6.858482360839844
5,SPXW,call,sell_dom,1-1.5%,$25-100k,64,0.0,,31.203296661376953,13.313328742980957,18.589723587036133
5,SPXW,call,sell_dom,1-1.5%,$5-25k,325,0.0,,25.364137649536133,9.501562118530273,14.22419548034668
5,SPXW,call,sell_dom,1.5-2%,$1-5k,321,0.0,,23.889934539794922,11.726375579833984,12.449190139770508
5,SPXW,call,sell_dom,1.5-2%,$5-25k,64,0.0,,32.82914161682129,9.06486463546753,27.22696876525879
5,SPXW,call,sell_dom,2-3%,$1-5k,104,0.0,,23.150978088378906,13.485883712768555,10.742933750152588
